Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-05-08,07:24:04,"""CNR7840297""",Completed,"""CID1266706""",Premier Sedan,Ashram,Ghaziabad,2.4,16.5,,,,,,,1861.0,46.83,4.1,3.3,UPI
2024-06-10,17:08:56,"""CNR9600731""",Completed,"""CID7967592""",Go Sedan,DLF Phase 3,Peeragarhi,2.4,22.9,,,,,,,676.0,45.01,3.1,4.2,UPI
2024-12-24,03:28:32,"""CNR6265847""",Incomplete,"""CID4121337""",Bike,Udyog Bhawan,Badarpur,4.8,23.0,,,,,1.0,Other Issue,755.0,14.57,,,UPI
2024-01-16,14:53:16,"""CNR6830346""",Cancelled by Customer,"""CID4916815""",Auto,Lal Quila,Mansarovar Park,11.9,,1.0,Driver asked to cancel,,,,,,,,,
2024-04-10,10:52:45,"""CNR9882291""",Completed,"""CID3687096""",Uber XL,Shivaji Park,Sarojini Nagar,14.7,25.2,,,,,,,428.0,17.64,4.9,4.5,Credit Card
2024-01-21,22:32:38,"""CNR4736858""",Completed,"""CID7256471""",eBike,Saket A Block,Nehru Place,5.3,30.2,,,,,,,1037.0,23.88,4.1,3.8,Uber Wallet
2024-04-29,13:03:29,"""CNR5239351""",Cancelled by Driver,"""CID6797259""",Bike,Saket A Block,RK Puram,8.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-03-21,11:40:24,"""CNR5239384""",Completed,"""CID6292594""",Go Mini,Bhiwadi,Welcome,10.6,26.1,,,,,,,263.0,20.23,4.3,3.8,UPI
2024-05-03,16:58:27,"""CNR3296844""",Completed,"""CID4191496""",Go Sedan,Noida Sector 62,Ghaziabad,4.6,15.3,,,,,,,482.0,15.45,3.9,4.7,UPI
2024-09-22,22:17:01,"""CNR2379110""",Cancelled by Driver,"""CID9671647""",Go Sedan,Mundka,Pulbangash,7.1,,,,1.0,The customer was coughing/sick,,,,,,,
2024-04-07,11:02:42,"""CNR8847420""",Cancelled by Customer,"""CID5807163""",Go Mini,Rajiv Nagar,AIIMS,18.0,,1.0,Driver asked to cancel,,,,,,,,,
2024-11-14,16:23:12,"""CNR8531841""",Completed,"""CID2893846""",Premier Sedan,Noida Sector 18,DLF City Court,11.6,17.2,,,,,,,76.0,30.74,4.7,4.7,UPI
2024-06-22,11:42:31,"""CNR2320950""",Completed,"""CID7769779""",Auto,Panipat,Rajiv Chowk,10.1,17.5,,,,,,,79.0,2.4,3.4,5.0,UPI
2024-12-09,21:57:59,"""CNR8652664""",Completed,"""CID7705359""",Auto,Udyog Bhawan,Raj Nagar Extension,12.9,28.1,,,,,,,451.0,47.28,4.9,4.6,Uber Wallet
2024-12-08,07:52:46,"""CNR7858348""",Completed,"""CID7117988""",Go Mini,Yamuna Bank,Ashram,12.4,32.5,,,,,,,472.0,37.13,3.8,4.2,UPI
2024-12-19,17:40:43,"""CNR6649983""",Completed,"""CID4450897""",Go Sedan,Sarojini Nagar,Gurgaon Sector 29,11.7,36.8,,,,,,,72.0,21.91,4.3,4.9,UPI
2024-01-20,08:24:06,"""CNR6882652""",Completed,"""CID7642191""",Auto,Dilshad Garden,Akshardham,3.7,28.5,,,,,,,917.0,13.5,4.2,4.4,UPI
2024-12-18,10:06:15,"""CNR7487553""",Completed,"""CID4520044""",Bike,Vinobapuri,MG Road,4.4,29.4,,,,,,,236.0,6.91,4.1,4.8,Uber Wallet
2024-04-20,08:50:34,"""CNR2675408""",Completed,"""CID6209127""",Go Mini,Kashmere Gate ISBT,Lajpat Nagar,10.8,29.1,,,,,,,803.0,27.64,3.3,3.1,Credit Card
2024-08-28,21:58:04,"""CNR5236075""",Completed,"""CID2485150""",Auto,Indraprastha,Arjangarh,4.4,30.8,,,,,,,154.0,36.09,4.2,3.8,UPI
2024-11-14,16:15:41,"""CNR3554019""",Cancelled by Driver,"""CID2822625""",Premier Sedan,Vishwavidyalaya,Netaji Subhash Place,9.1,,,,1.0,More than permitted people in there,,,,,,,
2024-12-26,22:03:21,"""CNR1782186""",Completed,"""CID9631514""",Auto,Yamuna Bank,Qutub Minar,5.0,31.8,,,,,,,180.0,32.22,4.6,3.9,UPI
2024-10-16,12:31:23,"""CNR7833590""",Cancelled by Driver,"""CID9090470""",Bike,Janakpuri,Shastri Park,9.8,,,,1.0,Customer related issue,,,,,,,
2024-10-06,03:24:17,"""CNR7462103""",Completed,"""CID4170711""",Go Mini,Welcome,Gurgaon Railway Station,7.1,16.7,,,,,,,917.0,38.98,4.3,4.6,UPI
2024-01-25,10:03:46,"""CNR3753567""",Cancelled by Customer,"""CID1173797""",Bike,Jama Masjid,Old Gurgaon,6.3,,1.0,Driver asked to cancel,,,,,,,,,
2024-01-10,10:20:31,"""CNR3738040""",Cancelled by Driver,"""CID6062511""",Auto,Subhash Nagar,Ghaziabad,11.4,,,,1.0,Customer related issue,,,,,,,
2024-08-26,18:07:53,"""CNR4352249""",Completed,"""CID4396593""",Go Sedan,Bahadurgarh,Palam Vihar,7.3,41.3,,,,,,,392.0,47.55,4.6,3.9,Uber Wallet
2024-07-10,01:49:30,"""CNR7535190""",Completed,"""CID6976283""",Go Sedan,Delhi Gate,Basai Dhankot,3.5,19.5,,,,,,,183.0,45.69,4.2,4.9,Uber Wallet
2024-11-29,02:32:52,"""CNR5014240""",Completed,"""CID2992596""",Premier Sedan,Sultanpur,Aya Nagar,3.0,40.5,,,,,,,403.0,36.32,4.3,4.3,Cash
2024-03-27,12:32:53,"""CNR4969393""",Completed,"""CID9936203""",Auto,Chhatarpur,Kherki Daula Toll,8.4,16.4,,,,,,,186.0,4.9,4.1,4.6,Uber Wallet
2024-08-14,10:48:38,"""CNR6120217""",Cancelled by Customer,"""CID2789564""",Premier Sedan,Tagore Garden,Old Gurgaon,5.6,,1.0,Driver asked to cancel,,,,,,,,,
2024-01-26,12:32:57,"""CNR2710147""",Cancelled by Driver,"""CID5968873""",Bike,Chirag Delhi,Civil Lines Gurgaon,6.7,,,,1.0,More than permitted people in there,,,,,,,
2024-04-24,04:51:54,"""CNR4674235""",Cancelled by Driver,"""CID4073717""",Auto,Rohini West,Vasant Kunj,9.7,,,,1.0,Customer related issue,,,,,,,
2024-05-19,10:21:00,"""CNR9086952""",Completed,"""CID5516645""",Auto,Kashmere Gate,Bahadurgarh,7.0,25.2,,,,,,,744.0,6.18,4.0,4.9,Debit Card
2024-05-07,10:04:09,"""CNR3610108""",Completed,"""CID3923330""",Premier Sedan,Green Park,Greater Kailash,2.4,22.3,,,,,,,377.0,21.62,4.5,4.2,Cash
2024-09-27,07:20:24,"""CNR8446035""",Completed,"""CID3133395""",Go Sedan,Tagore Garden,Kanhaiya Nagar,12.5,39.6,,,,,,,448.0,24.49,4.3,4.1,Credit Card
2024-02-12,13:40:36,"""CNR5855263""",Cancelled by Customer,"""CID7457559""",Go Sedan,Noida Sector 18,IGI Airport,13.7,,1.0,Driver asked to cancel,,,,,,,,,
2024-01-03,09:52:58,"""CNR4858055""",Cancelled by Driver,"""CID2560942""",Auto,Noida Extension,Laxmi Nagar,10.6,,,,1.0,Customer related issue,,,,,,,
2024-12-04,10:34:58,"""CNR2643040""",No Driver Found,"""CID5393995""",Go Mini,Pitampura,Chirag Delhi,,,,,,,,,,,,,
2024-04-23,21:58:43,"""CNR9547810""",Completed,"""CID2735894""",Auto,Samaypur Badli,Kadarpur,6.7,35.2,,,,,,,759.0,32.31,4.7,3.9,Cash
2024-04-17,17:32:48,"""CNR3149860""",Completed,"""CID3155228""",eBike,Bhiwadi,Lal Quila,12.7,35.1,,,,,,,409.0,43.31,4.1,4.3,UPI
2024-12-01,11:55:32,"""CNR3631269""",Completed,"""CID9843955""",Go Mini,Laxmi Nagar,Saket A Block,13.5,17.3,,,,,,,978.0,38.51,3.7,4.2,Cash
2024-01-08,08:42:30,"""CNR7418272""",Completed,"""CID8020165""",Bike,Kherki Daula Toll,Mehrauli,6.0,33.2,,,,,,,532.0,35.97,4.6,4.9,Credit Card
2024-07-18,23:15:58,"""CNR5286524""",Completed,"""CID3417607""",Auto,Nawada,Noida Sector 18,3.1,23.8,,,,,,,534.0,16.47,3.1,3.8,Cash
2024-01-29,12:46:49,"""CNR9392863""",Completed,"""CID8771621""",Auto,Moolchand,Ghaziabad,13.3,29.8,,,,,,,471.0,5.46,4.4,4.9,UPI
2024-12-20,22:52:24,"""CNR1175851""",No Driver Found,"""CID8855148""",Go Sedan,Okhla,Rohini West,,,,,,,,,,,,,
